run_dir,n_runs,mean_score,mean_horizon,mean_comm_calls,mean_comm_tokens,mean_waste,mean_wait
a-tom_gpt-4o__a-tom_claude-sonnet-4-20250514,1,20.0,16.0,4.0,2832.0,0.125,10.0
a-tom_gpt-4o,1,20.0,26.0,13.0,7580.0,0.23076923076923078,8.0
reflexion_gpt-4o__reflexion_claude-sonnet-4-20250514,3,20.0,21.333333333333332,19.333333333333332,16698.333333333332,0.4895424836601307,13.666666666666666
proagent_gpt-4o__baseline_claude-sonnet-4-20250514,1,20.0,17.0,19.0,23101.0,0.5294117647058824,12.0
claude-sonnet-4-20250514__gpt-4o,1,20.0,27.0,39.0,43820.0,0.5555555555555556,13.0
gpt-4o__claude-sonnet-4-20250514,2,20.0,20.5,22.5,13925.0,0.6637500000000001,14.5
a-tom_claude-sonnet-4-20250514,1,20.0,26.0,36.0,54008.0,0.7307692307692307,18.0
