order_level,model,slots,success_rate,mean_timesteps,mean_actions,mean_validator_errors,total_tokens,tokens_per_slot,tokens_per_call,tokens_per_nonempty_turn
level_1,?,4,0.0,5.0,0.5,0.0,4480,1120.0,560.0,248.88888888888889
level_1,claude-sonnet-4-20250514,8,0.75,15.375,2.375,0.75,16151,2018.875,897.2777777777778,310.59615384615387
level_1,gpt-4o,8,0.75,15.375,4.0,2.25,15949,1993.625,590.7037037037037,257.241935483871
level_2,claude-sonnet-4-20250514,4,1.0,26.0,5.0,1.25,33254,8313.5,1072.7096774193549,415.675
level_2,gpt-4o,4,1.0,26.0,5.5,2.5,9223,2305.75,576.4375,307.43333333333334
level_3,claude-sonnet-4-20250514,5,1.0,39.0,9.0,1.4,73556,14711.2,1186.3870967741937,338.96774193548384
level_3,gpt-4o,5,1.0,39.0,11.4,4.6,7088,1417.6,708.8,295.3333333333333
