order_level,request_units,effective,assisted,redundant,ineffective,effective_rate,assisted_rate,redundant_rate,ineffective_rate,matched_units,validator_assisted_units,total_tokens,tokens_per_effective
level_1,80,13,8,30,29,0.1625,0.1,0.375,0.3625,51,8,36580,2813.846153846154
level_2,85,5,5,28,47,0.058823529411764705,0.058823529411764705,0.32941176470588235,0.5529411764705883,38,5,42477,8495.4
level_3,177,5,7,64,101,0.02824858757062147,0.03954802259887006,0.3615819209039548,0.5706214689265536,76,7,80644,16128.8
